"","outletID","estID","east_DD","south_DD","est_name","full_ecosystem_type_name","est_ecosystem_type_code","biogeographical_zone","efz_ha","condition24","condition18","condition11","fishing_effort24","fishing_effort18","fishing_effort11","hund_km_zone","hund_km_zone_cond","fish","fish2018","efz_area","sum_area24pa","sum_area18pa","mod11","mod18","mod24","pes11","pes18","pes24"
"83",136,83,26.735298,-33.6540947222222,"Kasouga","2 Warm Temperate - Large Temporarily Closed","W-LTC","bWTemp",247.6148201382,84.37,87.75,84.225,"M","L","L",22,73.3089072304155,80,85,2476318.36475594,188598.313031575,188598.313031575,"NearNatural","NearNatural","NearNatural","B","B","B"
"84",138,84,26.901634,-33.6036258333333,"Kowie","2 Warm Temperate - Predominantly Open","W-PO","bWTemp",484.93172803052,68.7401458814392,71.3061077886355,70.35,"VH","H","H",22,73.3089072304155,55,65,4849317.4844087,385123.157522544,385123.157522544,"Moderate","Moderate","Moderate","C","C","C"
"85",139,85,26.9358269972222,-33.5808319444444,"Rufane","2 Warm Temperate - Small Temporarily Closed","W-STC","bWTemp",24.6531345621,67.77,69.4,60.75,"L","L","L",22,73.3089072304155,65,65,246531.342450697,94852.8204163111,94852.8204163111,"Moderate","Moderate","Moderate","C","C","C"
"86",140,86,27.0138519722222,-33.5612027777778,"Riet","2 Warm Temperate - Small Temporarily Closed","W-STC","bWTemp",40.3405922506,85.975,87.85,87,"L","L","L",22,73.3089072304155,85,85,403405.912742727,107964.283853913,107964.283853913,"NearNatural","NearNatural","NearNatural","B","B","B"
"87",141,87,27.0461519722222,-33.5413458333333,"West Kleinemonde","2 Warm Temperate - Large Temporarily Closed","W-LTC","bWTemp",224.2065621387,84.9999091515253,87.1299091515253,85.5,"L","L","L",22,73.3089072304155,85,85,2242065.58081131,800283.146479795,800283.146479795,"NearNatural","NearNatural","NearNatural","B","B","B"
"88",142,88,27.0493249722222,-33.5390258333333,"East Kleinemonde","2 Warm Temperate - Large Temporarily Closed","W-LTC","bWTemp",100.8696603879,85.525,86.5,87,"L","L","L",22,73.3089072304155,85,90,1008696.61706488,93007.0618149906,93007.0618149906,"NearNatural","NearNatural","NearNatural","B","B","B"
"89",144,89,27.140684,-33.4952277777778,"Great Fish","2 Warm Temperate - Predominantly Open","W-PO","bWTemp",524.2789512219,71.15,70.7,73.8,"VH","H","H",23,74.5466017575052,60,70,5198832.0267992,2453884.46783938,2453884.46783938,"Moderate","Moderate","Moderate","C","C","C"
"90",145,90,27.14807,-33.4827708333333,"Old Woman’s","2 Warm Temperate - Large Temporarily Closed","W-LTC","bWTemp",23.30766753467,74.0744150692072,66.3744150692072,74.1,"L","L","L",23,74.5466017575052,70,45,233076.681669985,4508.11949732683,4508.11949732683,"Moderate","Moderate","Moderate","C","C","C"
"91",147,91,27.231176,-33.4380119444444,"Mpekweni","2 Warm Temperate - Large Temporarily Closed","W-LTC","bWTemp",83.059318889,79.3722101133392,80.3722101133392,79.9,"M","M","M",23,74.5466017575052,80,80,830593.267336936,29762.7128689606,29762.7128689606,"NearNatural","NearNatural","NearNatural","B","B","B"
"92",148,92,27.2590719722222,-33.4228777777778,"Mtati (Mthathi)","2 Warm Temperate - Large Temporarily Closed","W-LTC","bWTemp",142.0938153728,81.6094974290927,82.8594974290927,85.1,"L","L","L",23,74.5466017575052,85,85,1420938.17661934,506961.375007412,506961.375007412,"NearNatural","NearNatural","NearNatural","B","B","B"
"93",149,93,27.274214,-33.4130238888889,"Mgwalana","2 Warm Temperate - Large Temporarily Closed","W-LTC","bWTemp",216.8509372912,81.4388416100007,82.6888416100007,85.1,"L","L","L",23,74.5466017575052,85,85,2168509.2042471,0,0,"NearNatural","NearNatural","NearNatural","B","B","B"
"94",150,94,27.326031,-33.38376,"Bira (Bhirha)","2 Warm Temperate - Large Temporarily Closed","W-LTC","bWTemp",270.598018033,81.1585929041393,83.5335929041393,89.575,"L","L","L",23,74.5466017575052,85,85,2705980.20637536,0,0,"Natural","NearNatural","NearNatural","A","B","B"
